Anio,Emisiones_MtCO2e
2013,0.56
2014,0.57
2015,0.58
2016,0.6
2017,0.6
2018,0.62
2019,0.64
2020,0.62
2021,0.64
2022,0.67
2013,203.54
2014,200.21
2015,205.95
2016,203.4
2017,199.24
2018,198.56
2019,192.32
2020,174.22
2021,192.67
2022,207.91
2013,2.08
2014,2.15
2015,2.31
2016,2.32
2017,2.55
2018,2.52
2019,2.6
2020,2.1
2021,2.57
2022,2.69
2013,1.51
2014,1.33
2015,1.29
2016,1.34
2017,1.29
2018,1.4
2019,1.36
2020,1.2
2021,1.1
2022,1.15
2013,0.49
2014,0.51
2015,0.7
2016,0.68
2017,0.66
2013,22.12
2014,23.69
2015,24.05
2016,25.15
2017,25.31
2018,25.2
2019,24.65
2020,21.24
2021,24.47
2022,25.67
2018,0.64
2019,0.75
2020,0.64
2021,0.63
2022,0.66
2013,513.97
2014,540.35
2015,518.99
2016,482.23
2017,497.22
2018,475.25
2019,475.45
2020,453.91
2021,507.42
2022,482.99
2013,84.92
2014,77.69
2015,83.37
2016,87.65
2017,88.56
2018,88.28
2019,93.52
2020,86.2
2021,87.34
2022,89.03
2013,104.47
2014,106.72
2015,107.3
2016,108.87
2017,100.44
2018,103.07
2019,102.62
2020,92.75
2021,99.42
2022,94.78
2013,7.45
2014,7.48
2015,7.15
2016,7.76
2017,7.87
2018,7.86
2019,7.71
2020,6.78
2021,7.65
2022,7.78
2013,29.02
2014,27.11
2015,29.65
2016,27.45
2017,26.63
2018,26.92
2019,22.44
2020,18.66
2021,21.96
2022,19.99
2013,0.16
2014,0.17
2015,0.18
2016,0.18
2017,0.16
2018,0.17
2019,0.18
2020,0.16
2021,0.16
2022,0.17
2013,20.33
2014,20.19
2015,22.29
2016,23.32
2017,22.25
2018,24.02
2019,26.78
2015,51.84
2016,50.4
2017,48.96
2018,49.93
2019,50.13
2020,42.76
2021,47.17
2022,50.14
2020,25.32
2021,27.64
2022,30.04
2013,49.48
2014,52.35
2013,6.41
2014,6.55
2015,6.94
2016,7.11
2017,6.35
2018,6.75
2019,7.73
2020,6.26
2021,7.21
2022,8.18
2013,0.32
2014,0.26
2015,0.28
2016,0.3
2017,0.32
2018,0.32
2019,0.35
2020,0.3
2021,0.32
2022,0.34
2013,18.3
2014,19.2
2015,21.74
2016,23.31
2017,22.67
2018,24.62
2019,25.78
2020,23.69
2021,26.71
2022,25.66
2013,2.04
2014,2.13
2015,2.11
2016,2.38
2017,2.38
2018,2.49
2019,2.71
2020,3.6
2021,3.74
2022,4.83
2013,4.46
2014,4.77
2015,5.1
2016,5.21
2017,5.2
2018,5.19
2019,5.24
2020,5.07
2021,5.05
2022,4.98
2013,11.52
2014,11.38
2015,12.4
2016,11.19
2017,10.03
2018,9.9
2019,11.12
2020,10.3
2021,11.34
2022,11.48
2013,7.21
2014,6.94
2015,6.83
2016,7.39
2017,7.79
2018,9.36
2019,9.46
2020,8.27
2021,8.9
2022,9.79
2020,5.51
2021,5.99
2022,6.12
2013,9.64
2014,10.23
2015,10.17
2016,10.25
2017,9.72
2018,10.7
2019,15.24
2020,11.18
2021,11.92
2022,12.95
2013,6.06
2014,6.4
2015,7.05
2016,8.29
2017,9.17
2018,9.53
2019,9.25
2020,8.54
2021,9.42
2022,8.64
2013,52.83
2014,56.26
2015,57.28
2016,59.68
2017,56.56
2018,56.81
2019,58.95
2020,48.88
2021,59.53
2022,63.9
2013,0.23
2014,0.23
2015,0.24
2016,0.24
2017,0.24
2018,0.25
2019,0.25
2020,0.23
2021,0.23
2022,0.24
2013,0.51
2014,0.51
2015,0.5
2016,0.5
2017,0.53
2018,0.53
2019,0.52
2020,0.49
2021,0.53
2022,0.55
2021,142.61
2022,166.86
2013,0.23
2014,0.27
2015,0.25
2016,0.25
2017,0.23
2018,0.25
2019,0.23
2020,0.25
2021,0.25
2022,0.26
2013,2.53
2014,2.89
2015,3.0
2016,3.26
2017,2.74
2018,2.44
2019,2.95
2020,2.88
2021,2.98
2022,3.11
2013,28.8
2014,28.49
2015,27.3
2016,23.51
2017,23.48
2018,23.06
2019,22.47
2020,20.03
2021,17.69
2022,18.48
2013,7.58
2014,6.75
2015,6.91
2016,6.85
2017,6.4
2018,6.85
2019,7.12
2020,6.76
2021,8.17
2022,7.79
2013,449.89
2014,442.62
2015,417.82
2016,384.26
2017,342.48
2018,287.21
2019,225.53
2020,138.75
2013,513.26
2014,498.01
2015,502.87
2016,504.0
2017,498.16
2018,469.49
2019,482.5
2020,420.39
2021,430.82
2022,433.33
2013,5.37
2014,5.65
2015,6.17
2016,6.29
2017,6.33
2018,5.96
2019,6.12
2013,2167.29
2014,2170.06
2015,2150.61
2016,2085.62
2017,2032.52
2018,1936.15
2019,1894.67
2020,1647.94
2021,1774.25
2022,1801.16
2013,36742.27
2014,36842.75
2015,36681.62
2016,36639.5
2017,37194.35
2018,38025.86
2019,37999.62
2020,35881.91
2021,37855.15
2022,38373.71
